[2026-08-03 01:14:54] NEAR MISS - would be SELL 2/4, 1 short @ 4056.36 | RSI 50.03 | Trend(H1) DOWN | reasons: MACD bearish crossover, H1 trend is DOWN
[2026-08-03 04:49:07] NEAR MISS - would be BUY 2/4, 1 short @ 4068.86 | RSI 63.52 | Trend(H1) DOWN | reasons: RSI healthy/bullish at 63.5, Price near support (4066.86)
[2026-08-03 14:25:50] NEAR MISS - would be SELL 2/4, 1 short @ 4031.76 | RSI 32.62 | Trend(H1) DOWN | reasons: RSI healthy/bearish at 32.6, H1 trend is DOWN
[2026-08-03 18:47:48] NEAR MISS - would be BUY 2/4, 1 short @ 4039.57 | RSI 50.32 | Trend(H1) DOWN | reasons: RSI healthy/bullish at 50.3, Price near support (4035.02)
[2026-08-03 20:22:45] NEAR MISS - would be SELL 2/4, 1 short @ 4052.77 | RSI 64.58 | Trend(H1) DOWN | reasons: Price near resistance (4052.85), H1 trend is DOWN
[2026-08-03 21:37:57] NEAR MISS - would be BUY 2/4, 1 short @ 4053.5 | RSI 61.97 | Trend(H1) DOWN | reasons: RSI healthy/bullish at 62.0, Price near support (4050.39)
[2026-08-03 22:39:23] NEAR MISS - would be BUY 2/4, 1 short @ 4052.14 | RSI 58.09 | Trend(H1) DOWN | reasons: RSI healthy/bullish at 58.1, Price near support (4050.39)
[2026-08-03 23:47:19] NEAR MISS - would be BUY 2/4, 1 short @ 4052.25 | RSI 56.8 | Trend(H1) DOWN | reasons: RSI healthy/bullish at 56.8, Price near support (4050.65)
[2026-08-04 05:15:09] NEAR MISS - would be BUY 2/4, 1 short @ 4058.35 | RSI 52.35 | Trend(H1) DOWN | reasons: RSI healthy/bullish at 52.3, Price near support (4056.80)
[2026-08-04 07:49:00] NEAR MISS - would be BUY 2/4, 1 short @ 4062.56 | RSI 54.93 | Trend(H1) DOWN | reasons: RSI healthy/bullish at 54.9, Price near support (4060.75)
[2026-08-04 10:31:17] NEAR MISS - would be SELL 2/4, 1 short @ 4049.6 | RSI 39.03 | Trend(H1) DOWN | reasons: RSI healthy/bearish at 39.0, H1 trend is DOWN
[2026-08-04 12:29:01] NEAR MISS - would be BUY 2/4, 1 short @ 4062.02 | RSI 53.91 | Trend(H1) DOWN | reasons: RSI healthy/bullish at 53.9, Price near support (4060.75)
[2026-08-04 17:02:35] NEAR MISS - would be SELL 2/4, 1 short @ 4093.63 | RSI 62.21 | Trend(H1) DOWN | reasons: Price near resistance (4093.66), H1 trend is DOWN
[2026-08-04 18:50:39] NEAR MISS - would be SELL 2/4, 1 short @ 4077.11 | RSI 45.68 | Trend(H1) DOWN | reasons: RSI healthy/bearish at 45.7, H1 trend is DOWN
[2026-08-04 20:20:51] NEAR MISS - would be BUY 2/4, 1 short @ 4079.19 | RSI 47.42 | Trend(H1) UP | reasons: Price near support (4076.47), H1 trend is UP
[2026-08-04 21:46:59] NEAR MISS - would be BUY 2/4, 1 short @ 4077.97 | RSI 46.92 | Trend(H1) UP | reasons: Price near support (4076.47), H1 trend is UP
